"section","group","Treatment","Height","water","fertiliser"
"wed_3pm","SAD","W+/FC",12.2,"+","-"
"wed_3pm","SAD","W+/FC",15.5,"+","-"
"wed_3pm","SAD","WC/F+",1.1,"-","+"
"wed_3pm","SAD","WC/F+",1.2,"-","+"
"wed_3pm","SAD","WC/F+",4.1,"-","+"
"wed_3pm","SAD","WC/F+",8,"-","+"
"wed_3pm","SAD","WC/FC",8.5,"-","-"
"wed_3pm","SAD","WC/FC",8.5,"-","-"
"wed_3pm","SAD","WC/FC",10.4,"-","-"
"wed_3pm","SAD","WC/FC",11.2,"-","-"
"wed_3pm","SAD","WC/FC",11.9,"-","-"
"wed_3pm","TAV :(","W+/F+",3.1,"+","+"
"wed_3pm","TAV :(","W+/F+",7.8,"+","+"
"wed_3pm","TAV :(","W+/F+",8.7,"+","+"
"wed_3pm","TAV :(","W+/FC",7.4,"+","-"
"wed_3pm","TAV :(","W+/FC",8.4,"+","-"
"wed_3pm","TAV :(","W+/FC",11,"+","-"
"wed_3pm","TAV :(","W+/FC",11.5,"+","-"
"wed_3pm","TAV :(","W+/FC",12.5,"+","-"
"wed_3pm","TAV :(","WC/F+",5.7,"-","+"
"wed_3pm","TAV :(","WC/F+",6.6,"-","+"
"wed_3pm","TAV :(","WC/F+",9,"-","+"
"wed_3pm","TAV :(","WC/FC",5.1,"-","-"
"wed_3pm","TAV :(","WC/FC",8.4,"-","-"
"wed_3pm","TAV :(","WC/FC",8.7,"-","-"
"wed_3pm","TAV :(","WC/FC",9.4,"-","-"
"wed_3pm","TIL","W+/F+",0.1,"+","+"
"wed_3pm","TIL","W+/F+",7.5,"+","+"
"wed_3pm","TIL","W+/F+",8.1,"+","+"
"wed_3pm","TIL","W+/F+",14,"+","+"
"wed_3pm","TIL","W+/FC",6.4,"+","-"
"wed_3pm","TIL","W+/FC",6.5,"+","-"
"wed_3pm","TIL","W+/FC",7.5,"+","-"
"wed_3pm","TIL","W+/FC",8,"+","-"
"wed_3pm","TIL","W+/FC",8,"+","-"
"wed_3pm","TIL","WC/F+",1.5,"-","+"
"wed_3pm","TIL","WC/F+",3,"-","+"
"wed_3pm","TIL","WC/F+",5.6,"-","+"
"wed_3pm","TIL","WC/FC",5.5,"-","-"
"wed_3pm","TIL","WC/FC",10,"-","-"
"wed_3pm","TIL","WC/FC",15.5,"-","-"
"wed_3pm","TIL","WC/FC",16.5,"-","-"
